✓  Chitram Sreenu                                 [portrait=0.00, quality=0.92, text=0.156, face=0.25, front=0.84, out=92KB]  src=10005.jpg  →  Chitram Sreenu.jpg
skip Chitti Babu: no valid single-face frontal image
✓  Cochin Haneefa                                 [portrait=0.00, quality=0.74, text=0.218, face=0.16, front=0.87, out=111KB]  src=10006.jpg  →  Cochin Haneefa.jpg
✓  Deepika Padukone                               [portrait=0.00, quality=0.82, text=0.130, face=0.11, front=0.93, out=227KB]  src=10010.jpg  →  Deepika Padukone.jpg
✓  Dev Gill                                       [portrait=0.00, quality=0.80, text=0.151, face=0.16, front=0.58, out=425KB]  src=10007.jpg  →  Dev Gill.jpg
✓  Devadas Kanakala                               [portrait=0.00, quality=0.46, text=0.114, face=0.14, front=0.53, out=105KB]  src=10002.jpg  →  Devadas Kanakala.jpg
✓  Dhana Dhan Dhanaraj                            [portrait=0.00, quality=0.49, text=0.120, face=0.25, front=0.48, out=24KB]  src=10010.jpg  →  Dhana Dhan Dhanaraj.jpg
✓  Dhanya Balakrishna                             [portrait=0.00, quality=0.55, text=0.143, face=0.14, front=0.62, out=379KB]  src=10002.jpg  →  Dhanya Balakrishna.jpg
✓  Dharmavarapu Subramanyam                       [portrait=0.00, quality=0.63, text=0.056, face=0.25, front=0.65, out=61KB]  src=10002.webp  →  Dharmavarapu Subramanyam.webp
✓  Dil Ramesh                                     [portrait=0.00, quality=0.50, text=0.234, face=0.15, front=0.80, out=32KB]  src=10003.jpg  →  Dil Ramesh.jpg
✓  Dimple Hayathi                                 [portrait=0.00, quality=0.62, text=0.092, face=0.19, front=0.77, out=213KB]  src=10005.jpg  →  Dimple Hayathi.jpg
✓  Dulquer Salmaan                                [portrait=0.00, quality=0.81, text=0.215, face=0.22, front=0.48, out=73KB]  src=10021.jpeg  →  Dulquer Salmaan.jpg
✓  Eesha Rebba                                    [portrait=0.00, quality=0.54, text=0.049, face=0.19, front=0.67, out=2379KB]  src=10001.jpg  →  Eesha Rebba.jpg
✓  Eeshwari Rao                                   [portrait=0.00, quality=0.54, text=0.260, face=0.27, front=0.89, out=53KB]  src=10027.jpg  →  Eeshwari Rao.jpg
✓  Fahad Fasil                                    [portrait=0.00, quality=0.45, text=0.063, face=0.19, front=0.58, out=35KB]  src=10017.jpg  →  Fahad Fasil.jpg
skip Faria Abdullah: no valid single-face frontal image
✓  Fish Venkat                                    [portrait=0.00, quality=0.49, text=0.038, face=0.26, front=0.93, out=66KB]  src=10001.jpg  →  Fish Venkat.jpg
✓  Gajala                                         [portrait=0.00, quality=0.78, text=0.273, face=0.14, front=0.85, out=110KB]  src=10007.jpg  →  Gajala.jpg
✓  Gangavva                                       [portrait=0.00, quality=0.75, text=0.436, face=0.28, front=0.62, out=19KB]  src=10018.jpg  →  Gangavva.jpg
✓  Gautham Menon                                  [portrait=0.00, quality=0.66, text=0.135, face=0.29, front=0.97, out=87KB]  src=10005.jpg  →  Gautham Menon.jpg
✓  Geetha                                         [portrait=0.00, quality=0.75, text=0.133, face=0.31, front=0.83, out=199KB]  src=10001.jpg  →  Geetha.jpg
✓  Geetha Singh                                   [portrait=0.00, quality=0.43, text=0.121, face=0.17, front=0.77, out=99KB]  src=10004.jpg  →  Geetha Singh.jpg
✓  Genelia                                        [portrait=0.00, quality=0.70, text=0.263, face=0.23, front=0.49, out=611KB]  src=10014.jpg  →  Genelia.jpg
✓  George Maryan                                  [portrait=0.00, quality=0.39, text=0.091, face=0.25, front=0.52, out=394KB]  src=10006.png  →  George Maryan.png
✓  Getup Srinu                                    [portrait=0.00, quality=0.58, text=0.195, face=0.11, front=0.97, out=221KB]  src=10002.jpg  →  Getup Srinu.jpg
✓  Giri Babu                                      [portrait=0.00, quality=0.71, text=0.157, face=0.11, front=0.80, out=37KB]  src=10006.webp  →  Giri Babu.webp
✓  Gollapudi Maruthi Rao                          [portrait=0.00, quality=0.60, text=0.359, face=0.14, front=0.62, out=12KB]  src=10012.jpg  →  Gollapudi Maruthi Rao.jpg
