Movie Name,Cast
Shakunthalam,"Samantha Ruth Prabhu, Dev Mohan, Sachin Khedekar, Mohan Babu, Aditi Balan, Ananya Nagalla, Prakash Raj, Gautami, Madhoo, Kabir Bedi, Jisshu Senguptha, Kabir Duhan Singh, Allu Arha, Varshini Sounderajan, Harish Uthaman, Subbaraju"
Aay,"Narne Nithin, Nayan Sarika, Rajkumar Kasireddy, Ankith Koyya"
Jathiratnalu,"Naveen Polishetty, Priyadarshi, Rahul Ramakrishna, Faria Abdullah, Murali Sharma, Bramhanandham, Vennela Kishore, Brahmaji, Naresh Senior, Tanikella Bharani, Giri Babu, Subhalekha Sudhakar, CVL Narasimha Rao, Mahesh Achanta, Mirchi Kiran, Jaya Naidu, Harini Rao, Divya Sripada, Satish Saripalli, Keshav Deepak, Mast Ali, Shobhan Chittuprollu"
Mazaka,"Sundeep Kishan, Ritu Varma, Anshu, Rao Ramesh"
Kantara,"Rishab Shetty, Sapthami Gowda, Kishore, Achyut Kumar"
KGF Chapter 1,"Yash, Srinidhi Shetty, Vaishta Simha, Ramachandra Raju, Archana Jois, Anant Nag, Achyut Kumar, Malavika Avinash"
Paagal,"Vishwak Sen, Nivetha Pethuraj, Murali Sharma, Simran Choudhary, Megha Lekha, Indraja Shankar, Mahesh Achanta, Bhumika Chawla"
Mathu Vadalara 2,"Sri Simha Koduri, Satya, Faria Abdullah, Sunil, Vennela Kishore, Ajay, Rohini"
Om Bheem Bush,"Sree Vishnu, Priyadarshi Pulikonda, Rahul Ramakrishna, Srikanth Iyengar, Preity Mukhundhan, Ayesha Khan"
Falaknuma Das,"Vishwak Sen, Saloni Mishra, Harshita Gaur, Prasanthi Charuolingah, Uttej, Jeevan Kumar, Tharun Bhaskar, Abhinav Gomatam, Venkatesh Kakumanu, Laxman Meesala"
Virupaksha,"Sai Dharam Tej, Samyuktha Menon, Sunil, Brahmaji, Rajeev Kanakala, Ajay, Ravi Krishna"
Tumbbad,"Sohum Shah, Jyoti Malshe, Anita Date-Kelkar, Mohammad Samad, Harsh K, Rudra Soni, Deepak Damle"
Ponniyan Selvan,"Ravi Krishna, Gopika, Revathi, Prakash Raj, Venu Madhav, Uttej"
Kirrak Party,"Nikhil Siddharth, Simran Pareenja, Samyuktha Hegde, Rakendu Mouli, Deepthi Sunaina, Viva Raghav, Sameer Malla, Mourya Siddavaram, Karthik Adusumalli, Brahmaji, Raghu Karumanchi, Naveen Sanaka, Viva Suhas, Shiju, Pramodini Pammi, Sayaji Shinde, Arohitha Gowda, Amit Anand Raut, Bunny Abiran"
Boys Hostel,"Prajwal B.P., Manjunath Nayaka, Rakesh Rajkumar, Srivatsa Shyam, Tejas Jayanna Urs, Shreyas Sharma, Bharath Vasisht, Anil Huliya, Pavan Sharma, Nithin Krishnamurthy, Shravan, Venu Madhav, Gagan Ram, Chethan Durga, Mukesh Singh, Anirudh Vedanti, Archana Kottige, Anoosha K. Bhat"
Premante,"Priyadarshi Pulikonda, Anandhi, Suma Kanakala, Vennela Kishore, Ravi Prakash, Kireeti Damaraju, Karthik Thupurani, Hyper Aadi, Auto Ram Prasad, Aruna Bhikshu, Surabhi Prabhavathi, Kedar Shankar, Rashmika Mandanna"
Dude,"Pradeep Ranganathan, Mamitha Baiju, Neha Shetty, Sarath Kumar, Hridhu Haroon, Dravid Selvam, Vinodhini Vaidyanathan, Satya, Rohini, Salim Kumar, Aishwarya Sharma, Avudaiyappan, Ramachandra Raju"
Ek Mini Katha,"Santosh Shoban, Kavya Thapar, Shraddha Das, Brahmaji, Sudharshan, Saptagiri, Posani Krishna Murali, Harsha Vardhan, Duvvasi Mohan, CVL Narasimha Rao, Rupa Lakshmi, Jeevan Kumar"
Anaganaga Oka Raju,"Naveen Polishetty, Meenakshi Choudhary"
Janaka Aithe Ganaka,"Suhas, Sangeerthana Vipin, Vennela Kishore, Rajendra Prasad, Murali Sharma, Goparaju Raman, Tenali Shakuntala, Rupa Lakshmi"
House Mates,"Darshan, Aarsha Chandini Baiju, Kaali Venkat, Vinodhini Vaidyanathan"
Sarangapani Jathakam,"Priyadarshi Pulikonda, Roopa Koduvayur, Naresh Senior, Tanikella Bharani, Srinivas Avasarala, Vennela Kishore, Viva Harsha, Raja Chembolu, Sivaji Raja, Kedar Shankar, Vasu Inturi, Divya Sripada"
Jigris,"Krishna Burugula, Ram Nithin, Mani Vaka, Dheeraj Athreya, Mast Ali, Muralidhar Goud"
Single,"Sree Vishnu, Kethika Sharma, Ivana, Vennela Kishore"
The Great Pre-Wedding Show,"Thiruveer, Teena Sravya, G. Rohan Roy, Narendra Ravi, Yamini Nageswar, Prabhavathi Varma, Madhavi Prasad, Krovvidi Joga Rao, Bank Basha, Waltair Vinay"
Mass Jathara,"Ravi Teja, Sreeleela, Naveen Chandra, Rajendra Prasad, Naresh Senior, Praveen, Samuthirakani, Taarak Ponnappa, VTV Ganesh, Hyper Aadi, Ajay Ghosh, Lakshman Tekumudi, Raiza Wilson, Navya Swamy, Ravi Mariya, Murali Sharma, Sharath Lohithaswa, Madhusudhan Rao, Sudharshan"
Mirai,"Teja Sajja, Manchu Manoj, Jagapathi Babu, Jayaram, Shriya Saran, Ritika Nayak, K. S. Ravikumar, Tanja Keller, Getup Srinu, Goparaju Raman, Pawan Chopra, Kishore Tirumala"
Tourist Family,"M. Sasikumar, Simran, Mithun Jai Sankar, Kamalesh Jagan, M. S. Bhaskar, Ramesh Thilak, Kumaravel, Bagavathi Perumal, Sreeja Ravi"
Kubera,"Dhanush, Nagarjuna, Rashmika Mandanna, Jim Sarbh, Dalip Tahil, Sayaji Shinde, Satya Raj, Nassar, Priyamani, Aadukalam Naren, Ramesh Thilak, Kalabhavan Shajohn"
Satyam Sundaram,"Karthi, Arvind Swamy, Rajkiran, Sri Divya, Devadarshini, Jayaprakash, Sriranjani, Ilavarasu, Karunakaran, Saran Shakthi"
Return of the Dragon,"Pradeep Ranganathan, Anupama Parameswaran, Kayadu Lohar, Mysskin, Gautham Vasudev Menon, K. S. Ravikumar, George Maryan"
Laila,"Vishwak Sen, Akanksha Sharma, Babloo Prithveeraj, Abhimanyu Singh, Kamakshi Bhaskarla, Vineet Kumar, Praneeth Reddy Kallem, Keerthi Chawla, Shiva Karthik, Surabhi Prabhavathi, Manik Reddy"
Subham,"Harshith Reddy, Gavireddy Srinivas, Charan Peri, Shriya Kontham, Shravani Lakshmi, Shalini Kondepudi, Vamshidhar Goud"
Thug Life,"Kamal Hasan, Silambarasan, Trisha Krishnan, Aishwarya Lekshmi, Ashok Selvan, Abhirami, Joju George, Nassar, Mahesh Manjrekhar, Ali Fazal, Sanjana Krishnamoorthy, Tanikella Bharani"
Aagadu,"Mahesh Babu, Tamanna Bhatia, Sonu Sood, Rajendra Prasad, Ashish Vidyrathi, Nassar, Brahmanandham"
Adhinayakudu,"Nandamuri Balakrishna, Raai Laxmi, Jayasudha, Sukanya, Saloni, Pradeep Rawat, Aditya Menon, Kota Srinivas Rao, Rahman, Murali Sharma, Brahmanandham, Charanraj, Venu Madhav, Kasi Viswanath, M. S. Narayana, Amit Tiwari, John Kokken"
Aditya 369,"Nandamuri Balakrishna, Mohini, Tinnu Anand, Master Tarun, Amrish Puri, Silk Smitha, Chandra Mohan, J. V. Somayajulu, Suthi Velu, Brahmanandham, Subhalekha Sudhakar, Raavi Kondala Rao, Chalapati Rao, Tanikella Bharani, Babu Mohan, Annapoorna, Sri Lakshmi, Baby Raasi, Kinnera, Potti Prasad"
Aha Na Pellanta,"Raj Tarun, Shivani Rajashekar, Harsha Vardhan, Amani, Posani Krishna Murali, Mohammad Ali Baig, Madhunandan, Raghu Karumanchi, Vadlamani Srinivas, Dipali Sharma, Hanu Reddy, Kritika Singh, Thagubothu Ramesh, Getup Srinu, Badram, Rajkumar Kasireddy, Ravi Siva Teja, Trishool Jeethuri, Dorababu"
Akhanda,"Nandamuri Balakrishna, Pragya Jaiswal, Jagapathi Babu, Srikanth, Poorna, Avinash, Viji Chandrasekhar, Subbaraju, Sravan, Easwari Rao, Nithin Mehta, Shatru, Ravi Prakash, Kalyan Acharya, Suresh Chandra, Sampath Raj, Ramesh Reddy"
Akkada Ammayi Ikkada Abbayi,"Pawan Kalyan, Supriya Yarlagadda, Nassar, Chandra Mohan, Sarath Babu, Ahuti Prasad, Allu Ramalingaiyah, Kota Srinivas Rao, Bramhanandham, Babu Mohan, Mallikarjuna Rao, AVS, Gokina Rama Rao, Raja Ravindra, Visweswara Rao, Tirupathi Prakash, Ironleg Sastri, Ashok Kumar, Kavitha, Sudha, Attili Lakshmi, Kovai Sarala, Kalpana Rai, Madhu, Ooha, Rambha, Sunil"
Adbutham,"Teja Sajja, Shivani Rajashekar, Sathya, Sivaji Raja, Devi Prasad, Tulasi, Jaiyetri Makana, Divyasree"
Allari Ramudu,"N T Rama Rao Jr., Nagma, Aarthi Agarwal, Gajala, Rajendra Prasad, Bhanuchander, Brahmanandham, Ahuti Prasad, Chalapati Rao, Gundu Hanumantha Rao, Mallikarjuna Rao, Prakash Raj, Sudha, Sangeetha, Rallapalli, Suthi Velu, Giri Babu, Chitram Sreenu, Ramya Krishna"
Anand,"Raja, Kamalinee Mukherjee, Anuj Gurwara, Anish Kuruvilla, Sathya Krishnan, Bakhitha Francis, Chandana Chakrabarti, Gopichand Lagadapati, Gururaj Manepalli, Sekhar Kammula, Shankar Melkote"
Andhrudu,"Gopichand, Gowri Pandit, Salim Baig, K Vishwanath, Pawan Malhotra, Sayaji Shinde, Dharmavarapu Subramanyam, Prudhvi Raj, Sunil, Haritha, Sudeepa Pinky, Ravi Babu, Lakshmipathi, Duvvasi Mohan, Vinaya Prasad"
Arjun,"Mahesh Babu, Shriya Saran, Keerthi Reddy, Raja, Prakash Raj, Saritha, V. Jayaprakash, Nassar, Raja Ravindra, M. S. Narayana, Rallapalli, Ahuti Prasad, Sudha, Chalapati Rao, Bramhanandham"
Arya 2,"Allu Arjun, Kajal Aggarwal, Navdeep, Mukesh Rishi, Shraddha Das, Ajay, Bramhanandham, Sayaji Shinde, Radha Kumari, Venu Madhav, Srinivas Reddy, Krishnudu, Devi Charan, Erina Andriana"
Anukokunda Oka Roju,"Charmy, Jagapathi Babu, Shashank, Pavan Malhotra, Harsha Vardhan, Narsing Yadav, Amit Tiwari, Kaushal Manda, Sivannarayana Naripeddi, Ravi Prakash, Vasu Inturi, Kamal Kamaraju, Pooja Bharti, Shanoor Sana, C.V.L. Narasimha Rao"
April 1 Vidudala,"Rajendra Prasad, Shobana, Brahmanandham, Mallikarjuna Rao, Mohan Babu, Chandra Mohan, Krishna Bhagavan, Suthi Velu, Kota Srinivas Rao, Nirmalamma, Annapurna, Uttej, Tanikella Bharani, Rallapalli, Gundu Hanumantha Rao, Dharmavarapu Subramanyam"
Aravinda Sametha Veera Raghava,"N T Rama Rao Jr., Pooja Hegde, Jagapathi Babu, Naveen Chandra, Naga Babu, Supriya Pathak, Devayani, Easwari Rao, Eesha Rebba, Sunil, Rao Ramesh, Subhalekha Sudhakar, Naresh, Lakshmi Gopalaswamy, Sithara, Brahmaji, Shatru, Vinay Varma, Srinivas Reddy, Ravi Prakash, Sharath Lohitashwa, Adarsh Balakrishna, Hari Teja, Master Charan Ram, Ayyappa P. Sharma, Pammi Sai, Narra Srinivas, Rangadham, Ananth"
Athadu,"Mahesh Babu, Trisha, Prakash Raj, Sonu Sood, Sayaji Shinde, Kota Srinivas Rao, Nassar, Sunil, Rajeev Kanakala, Ajay, Rahul Dev, Bramhanandham, Tanikella Bharani, Vajja Venkata Giridhar, Giri Babu"
Bommarillu,"Siddharth, Genelia, Prakash Raj, Jayasudha, Kota Srinivas Rao, Sunil, Sathya Krishnan, Sudeepa Pinky, Dharmavarapu Subramanyam, Surekha Vani, Chitram Srinu, Vijay Sai, Ravi Varma, Neha Bamb, Bramhanandham, Tanikella Bharani, Chalapati Rao, Narsing Yadav, Saptagiri"
Bommana Brothers Chandana Sisters,"Allari Naresh, Krishna Bhagavan, Farjana, Charulatha, Raghu Babu, Suman Shetty, Kota Srinivas Rao"
100% Love,"Naga Chaitanya, Tamanna Bhatia, Vijayakumar, K. R. Vijaya, Naresh Senior, Dharmavarapu Subramanyam, M. S. Narayana, Nandu, Tara Alisha Berry, Pradeep Machiraju, Satyam Rajesh, Thagubothu Ramesh, Chitram Sreenu, Meghna Naidu, Maryam Zakaria"
Adhugo,"Ravi Babu, Nabha Natesh, Rakesh Rachakonda, Abhishek Varma"
